Date,MSFT,AAPL,AMZN,GOOG,FB,TSLA,GOOGL,NVDA,CMCSA,ADBE,INTC,CSCO,NFLX,PEP,AVGO,TMUS,TXN,COST,AMGN,CHTR,SBUX,AMAT,INTU,ISRG,AMD,BKNG,MU,LRCX,MDLZ,ADP,GILD,FISV,CSX,ATVI,MELI,ADSK,ADI,ILMN,NXPI,BIDU
2016-11-25,56.4903678894043,26.38433837890625,780.3699951171875,761.6799926757812,120.37999725341797,39.33000183105469,780.22998046875,92.96283721923828,31.639442443847656,105.0199966430664,31.616558074951172,26.10834312438965,117.41000366210938,88.75057983398438,149.2798614501953,54.59000015258789,66.09327697753906,136.05894470214844,127.93028259277344,275.5,52.56328201293945,30.014572143554688,111.6955337524414,218.836669921875,8.770000457763672,1521.6800537109375,20.1299991607666,99.26406860351562,39.35973358154297,87.4357681274414,63.92628860473633,53.6150016784668,32.925296783447266,36.09714889526367,162.65660095214844,75.83000183105469,67.3525161743164,135.19000244140625,95.93693542480469,164.44000244140625
2016-11-28,56.565032958984375,26.332414627075195,766.77001953125,768.239990234375,120.41000366210938,39.2239990234375,785.7899780273438,92.91346740722656,31.250587463378906,104.5,31.679006576538086,25.960840225219727,116.93000030517578,89.28914642333984,147.50625610351562,54.97999954223633,66.18204498291016,135.4945526123047,127.61365509033203,270.82000732421875,52.70972442626953,29.976913452148438,111.34912872314453,215.89666748046875,8.829999923706055,1525.0699462890625,19.989999771118164,98.5533218383789,39.03234100341797,87.12001037597656,63.16365051269531,53.30500030517578,32.60554885864258,36.24262237548828,161.33094787597656,75.18000030517578,67.31620788574219,136.17999267578125,95.50309753417969,167.0
2016-11-29,57.012996673583984,26.30645179748535,762.52001953125,770.8400268554688,120.87000274658203,37.91400146484375,789.4400024414062,92.06439971923828,32.0877685546875,104.94999694824219,31.500585556030273,25.882747650146484,117.51000213623047,89.07198333740234,148.18194580078125,55.38999938964844,66.0666275024414,135.70057678222656,128.43170166015625,280.489990234375,53.24057388305664,30.27819061279297,111.78216552734375,216.77000427246094,8.930000305175781,1520.27001953125,19.420000076293945,99.29175567626953,38.977779388427734,87.54401397705078,63.44328308105469,53.27000045776367,32.72781753540039,36.80512619018555,162.37753295898438,75.26000213623047,67.65205383300781,136.52999877929688,95.3006362915039,169.17999267578125
2016-11-30,56.2383918762207,26.084596633911133,750.5700073242188,758.0399780273438,118.41999816894531,37.880001068115234,775.8800048828125,91.02774810791016,31.799570083618164,102.80999755859375,30.95639419555664,25.87407112121582,117.0,87.5957260131836,143.99278259277344,54.209999084472656,65.6492691040039,134.47332763671875,126.73396301269531,275.30999755859375,53.05752182006836,30.315845489501953,109.39561462402344,214.5800018310547,8.90999984741211,1503.6800537109375,19.530000686645508,97.86103820800781,37.50452423095703,86.62382507324219,62.45183181762695,52.310001373291016,33.67767333984375,35.50555419921875,157.30416870117188,72.61000061035156,67.7707290649414,133.13999938964844,95.58988952636719,166.9499969482422
2016-12-01,55.24913024902344,25.841503143310547,743.6500244140625,747.9199829101562,115.0999984741211,36.375999450683594,764.3300170898438,86.52574920654297,31.95968246459961,99.51000213623047,30.1177978515625,25.55303382873535,117.22000122070312,86.65940856933594,137.48947143554688,54.2599983215332,62.52352523803711,135.9335479736328,125.25608825683594,272.54998779296875,53.5517578125,28.338727951049805,109.09730529785156,210.77667236328125,8.390000343322754,1479.6600341796875,18.479999542236328,90.99361419677734,37.140750885009766,86.39828491210938,61.723087310791016,51.65999984741211,34.439430236816406,34.506622314453125,150.8054656982422,69.22000122070312,62.99647903442383,127.72000122070312,94.24012756347656,163.0800018310547
2016-12-02,55.29579544067383,25.93826675415039,740.3400268554688,750.5,115.4000015258789,36.29399871826172,764.4600219726562,87.325439453125,31.465595245361328,99.7300033569336,30.474647521972656,25.379497528076172,120.80999755859375,88.03326416015625,138.69729614257812,54.439998626708984,62.798805236816406,136.2470703125,126.68115234375,266.6700134277344,52.361915588378906,29.600322723388672,108.9914321899414,212.2133331298828,8.529999732971191,1473.0,18.790000915527344,92.75659942626953,37.44086456298828,85.92015075683594,61.36717987060547,51.685001373291016,34.30778121948242,34.6327018737793,152.0613555908203,70.56999969482422,64.00062561035156,127.9000015258789,94.45223999023438,161.6699981689453
2016-12-05,56.20106887817383,25.75181007385254,759.3599853515625,762.52001953125,117.43000030517578,37.36000061035156,778.219970703125,90.7118148803711,31.41985511779785,101.94999694824219,30.679828643798828,25.622446060180664,119.16000366210938,88.1295166015625,140.31040954589844,55.02000045776367,62.61233139038086,135.9604034423828,127.80711364746094,270.92999267578125,52.627349853515625,29.685054779052734,110.55999755859375,212.31666564941406,8.680000305175781,1499.760009765625,18.610000610351562,94.51962280273438,37.31352233886719,86.6509017944336,61.31635284423828,51.814998626708984,34.354793548583984,35.37947463989258,157.43373107910156,71.18000030517578,64.44792175292969,127.91999816894531,94.28834533691406,164.32000732421875
2016-12-06,55.94908142089844,25.95006561279297,764.719970703125,759.1099853515625,117.30999755859375,37.16999816894531,776.1799926757812,92.20262908935547,31.429000854492188,101.55000305175781,30.974231719970703,25.448909759521484,124.56999969482422,88.86458587646484,139.1533203125,55.9900016784668,63.375999450683594,135.2795867919922,127.64878845214844,276.32000732421875,52.57242965698242,29.760377883911133,110.21357727050781,207.19667053222656,9.449999809265137,1504.8199462890625,19.059999465942383,95.1196060180664,36.967960357666016,86.60578155517578,61.40956115722656,51.625,33.90337371826172,35.592838287353516,157.03504943847656,76.31999969482422,64.81306457519531,126.4000015258789,94.29798126220703,165.1699981689453
2016-12-07,57.27431106567383,26.20496368408203,770.4199829101562,771.1900024414062,117.94999694824219,38.630001068115234,791.469970703125,93.86127471923828,31.71721839904785,103.36000061035156,31.670087814331055,25.986867904663086,125.38999938964844,89.96719360351562,142.3542938232422,58.38999938964844,64.11305236816406,137.82374572753906,124.20049285888672,284.25,53.780574798583984,30.60770606994629,112.21519470214844,206.336669921875,9.5600004196167,1527.0400390625,20.440000534057617,98.3502426147461,38.141109466552734,88.54788970947266,61.67226028442383,52.40999984741211,34.9190673828125,36.320213317871094,165.0786590576172,80.33999633789062,66.58401489257812,122.0199966430664,94.85713195800781,169.3300018310547
2016-12-08,56.93833541870117,26.46222686767578,767.3300170898438,776.4199829101562,118.91000366210938,38.45800018310547,795.1699829101562,92.29147338867188,31.67146873474121,103.5,31.84850311279297,25.986867904663086,123.23999786376953,89.38966369628906,144.17861938476562,58.54999923706055,64.05086517333984,141.17413330078125,123.67271423339844,279.0,53.679901123046875,30.796009063720703,113.23523712158203,206.48666381835938,10.34000015258789,1548.6700439453125,20.65999984741211,98.90409088134766,37.586360931396484,89.11058807373047,61.02825927734375,52.35499954223633,35.00370788574219,36.262020111083984,159.43716430664062,81.73999786376953,67.44210052490234,123.4800033569336,94.62577819824219,167.75
2016-12-09,57.83427429199219,26.894136428833008,768.6599731445312,789.2899780273438,119.68000030517578,38.43600082397461,809.4500122070312,90.65259552001953,31.772111892700195,104.30999755859375,31.902034759521484,26.082311630249023,122.87999725341797,90.63224792480469,151.2561798095703,56.7400016784668,63.92655944824219,143.06431579589844,126.18854522705078,278.80999755859375,53.77143096923828,30.457069396972656,112.57123565673828,208.40333557128906,10.34000015258789,1557.97998046875,20.5,96.07955932617188,38.15020751953125,89.13780212402344,61.60446548461914,52.39500045776367,35.050724029541016,35.68012237548828,158.09158325195312,81.11000061035156,66.76657104492188,123.19999694824219,94.79930877685547,170.82000732421875
2016-12-12,58.02092361450195,26.740720748901367,760.1199951171875,789.27001953125,117.7699966430664,38.486000061035156,807.9000244140625,88.45094299316406,31.56624984741211,105.16000366210938,32.08937454223633,26.177759170532227,122.83000183105469,91.63859558105469,150.47073364257812,56.130001068115234,63.69569396972656,143.6287384033203,128.2205810546875,277.9200134277344,53.78973388671875,30.127548217773438,111.65705108642578,211.24667358398438,10.680000305175781,1536.780029296875,20.020000457763672,96.07028198242188,38.795894622802734,88.99259185791016,62.256935119628906,52.40999984741211,34.815616607666016,36.04866027832031,153.1776580810547,78.37000274658203,66.54750061035156,124.0,94.61611938476562,168.47999572753906
2016-12-13,58.7768669128418,27.186798095703125,774.3400268554688,796.0999755859375,120.30999755859375,39.630001068115234,815.3400268554688,90.01084899902344,32.01457977294922,106.1500015258789,32.829833984375,26.54218292236328,123.77999877929688,92.43490600585938,151.55181884765625,56.650001525878906,65.00103759765625,143.1270294189453,130.5164794921875,283.8599853515625,54.283966064453125,30.155797958374023,113.35070037841797,211.99000549316406,10.539999961853027,1540.1099853515625,20.1299991607666,96.46894073486328,39.1778450012207,89.30115509033203,63.826148986816406,53.04999923706055,34.83443069458008,36.194129943847656,156.3074493408203,79.66999816894531,66.73007202148438,126.69999694824219,94.67396545410156,171.4600067138672
2016-12-14,58.49688720703125,27.186798095703125,768.8200073242188,797.0700073242188,120.20999908447266,39.737998962402344,817.8900146484375,95.22371673583984,32.03288269042969,105.80999755859375,32.606807708740234,26.42938232421875,123.44000244140625,91.41985321044922,150.87228393554688,56.54999923706055,64.37943267822266,142.42832946777344,130.7980194091797,288.260009765625,53.77143096923828,30.25935935974121,113.23523712158203,212.19667053222656,10.550000190734863,1528.449951171875,20.020000457763672,96.82122039794922,38.95050048828125,88.65681457519531,64.56813049316406,53.01499938964844,34.30778121948242,35.63162612915039,157.2244110107422,76.83000183105469,66.21886444091797,125.44999694824219,94.3172607421875,169.8300018310547
